feature,frequency,rank,docfreq,group
<c3><a5>,8080,1,4318,all
p<c3><a5>,5293,2,3414,all
klima,3979,3,2902,all
ogs<c3><a5>,2397,4,1921,all
n<c3><a5>,2090,5,1589,all
m<c3><a5>,1928,6,1448,all
norge,1517,7,1195,all
<e2><80><93>,1452,8,1116,all
regjeringen,1263,9,979,all
n<c3><a5>r,1226,10,1068,all
klimapolitikk,1134,11,818,all
s<c3><a5>,1069,12,931,all
v<c3><a6>re,1061,13,871,all
viktig,1022,14,856,all
klimapolitikken,949,15,704,all
b<c3><a5>de,933,16,880,all
f<c3><a5>,893,17,791,all
klimagassutslipp,870,18,728,all
klimaendringene,849,19,635,all
klimam<c3><a5>lene,797,20,660,all
norsk,751,21,614,all
v<c3><a5>re,745,22,659,all
klimam<c3><a5>l,718,23,557,all
milj<c3><b8>,696,24,595,all
klimaet,676,25,577,all
store,668,26,599,all
andre,660,27,608,all
kommer,650,28,566,all
klimagassutslippene,640,29,542,all
st<c3><a5>r,635,30,573,all
ta,624,31,576,all
fram,612,32,518,all
kutte,607,33,518,all
eu,600,34,415,all
klimaendringer,594,35,486,all
redusere,574,36,491,all
klimatiltak,572,37,471,all
gj<c3><b8>r,571,38,494,all
derfor,569,39,522,all
nye,561,40,491,all
stortinget,546,41,475,all
utslipp,539,42,460,all
gjelder,538,43,481,all
klimakrisen,524,44,401,all
pst,518,45,426,all
milj<c3><b8>ministeren,516,46,387,all
gjennom,512,47,452,all
veldig,506,48,464,all
ser,504,49,461,all
<c3><a5>r,502,50,427,all
gj<c3><b8>re,501,51,459,all
dag,500,52,444,all
v<c3><a6>rt,499,53,441,all
g<c3><a5>r,497,54,457,all
v<c3><a5>r,495,55,443,all
natur,492,56,413,all
bidra,488,57,431,all
mener,483,58,431,all
del,476,59,429,all
energi,465,60,394,all
