term,parliament,nbim,nbim_vs_parl
carbon neutral / net zero,0.28756252419078415,14.85847355459613,51.67041010092899
responsible,1.7600809670297997,65.59764491518442,37.26967460246037
divestment,0,30.47253272912476,3047.253272912476
balance,1.601425781269367,2.336448598130841,1.4589802571299055
petroleum,3.300358395454,0,0
extraction,0.8527716234623256,0,0
oil / olje,7.564216512765628,0,0
climate / klima,38.027664836953704,66.08007579295548,1.7376842905363363
sustainable / b<c3><a6>rekraft,9.522616461995968,28.55597511389946,2.99875304522283
