year_start,n_speeches,total_words,oljefondet_rate,spu_rate,nbim_rate,fund_mentions,oljefondet_share
2016,1768,807512,0.5448835435262881,0.5448835435262881,0.02476743379664946,90,0.4888888888888889
2017,1510,636176,1.0217298357687181,0.5816000603606549,0,102,0.6372549019607843
2018,1867,793829,1.1085510859391632,1.0203708859212752,0.11337454288014169,178,0.4943820224719101
2019,1701,680278,0.587994907964097,0.19109834508833154,0,53,0.7547169811320755
2020,1782,718279,1.4896718406078977,0.9188630044871143,0.5708088361207831,214,0.5
2021,1714,616121,1.071218153576976,1.0387569974079767,0.19476693701399564,142,0.4647887323943662
2022,1699,604845,0.793591746645835,0.7439922624804702,0.06613264555381958,97,0.4948453608247423
2023,1528,559403,1.1977054109470275,0.32177160294099244,0.017876200163388468,86,0.7790697674418605
2024,1641,634415,2.585058676103182,0.6620272219288635,0.11033787032147727,213,0.7699530516431925
