feature,chi2,p,n_target,n_reference
kr,13825.09638893352,0,4591,6476
<c3><b8>kes,8102.809439967777,0,1083,272
reduseres,5985.29343412484,0,868,290
driftsutgifter,5252.842955821276,0,539,5
overf<c3><b8>res,4046.828358938002,0,486,72
regjeringa,2593.9688724030393,0,1440,3249
overslagsbevilgning,2538.4113419495125,0,260,2
petroleumsn<c3><a6>ringen,2207.180023318946,0,224,0
nyttes,2060.5864742281906,0,215,5
petroleumsvirksomhet,1960.8273724175963,0,199,0
post,1893.1319919168052,0,259,71
petroleumstilsynet,1665.2093637346736,0,169,0
sokkel,1558.7366908077727,0,454,549
petroleumssektoren,1546.9637401605225,0,157,0
petroleumsvirksomheten,1369.596997515935,0,139,0
petroleum,1005.0161832000997,0,102,0
petroleumsaktivitet,955.7491638419501,0,97,0
spesielle,904.4022487821629,0,180,125
mv,848.4324926689987,0,136,60
petroleumspolitikk,768.5359196006591,0,78,0
tilskudd,708.5062097354487,0,233,324
olje,669.3073556367674,0,927,3646
petroleumspolitikken,640.44395115045,0,65,0
fr<c3><a5>,634.5512079288994,0,716,2543
ei,578.5823019154567,0,855,3465
norsk,577.8029683444573,0,1710,9039
barentshavet,572.5620497358735,0,180,238
gass,564.7421725302943,0,523,1665
utstyrsanskaffelser,530.2730427289212,0,55,1
petroleumsn<c3><a6>ring,521.261645113808,0,54,0
bevilges,484.26053682844093,0,90,55
petroleumsindustrien,472.00179487350346,0,49,0
styrkje,457.7170463290362,0,134,163
johan,439.7310331535483,0,130,160
auka,429.95277283409285,0,284,728
forvaltningsplanen,427.50124037531117,0,84,57
noreg,422.350082476353,0,559,2151
petroleumsn<c3><a6>ringa,412.8919150515355,0,43,0
vester<c3><a5>len,406.7991252553243,0,97,90
lofoten,401.20458770664834,0,123,158
oda-godkjente,390.23278149273176,0,44,3
statens,378.4439389618608,0,307,902
kap,372.0992380450684,0,46,7
l<c3><b8>yvd,365.5319039468039,0,47,10
refusjon,348.230236294929,0,46,11
senja,334.62140177820476,0,78,70
petroleumsverksemda,334.08363187934833,0,35,0
personar,331.7095169781547,0,64,42
styrkt,328.4566465501307,0,92,106
vidaref<c3><b8>rt,325.4208467910989,0,42,8
vedteke,308.31447546071604,0,85,96
utval,304.48782187901696,0,51,25
fleire,302.4216227472548,0,276,871
arbeidstilsynet,297.16450506543293,0,57,37
tredde,295.5304774297894,0,38,7
sokkelen,293.4757496910623,0,171,400
driftsinntekter,292.7213549923857,0,33,2
vidare,274.5374165361435,0,156,358
havomr<c3><a5>dene,272.63683125931124,0,82,103
petroleumsindustri,265.1341598047893,0,28,0
forvaltningsplanene,264.37977166259316,0,48,28
m.a,262.8627891459337,0,85,116
funn,262.50207533814574,0,66,66
noregs,261.3442352387471,0,101,166
juni,255.56073183197904,0,157,382
betre,254.52157648295488,0,188,520
havindustritilsynet,251.84287513103155,0,35,9
equinor,237.38306416140955,0,135,310
petroleumsloven,235.58813955878725,0,25,0
iskanten,232.02638970235026,0,71,91
endringar,228.09590789914503,0,100,185
pensjonskasse,226.25217837010268,0,29,5
virusutbrotet,224.4974142310869,0,27,3
arbeidd,220.0028334596255,0,37,17
castberg-feltet,216.7047441344442,0,49,42
petroleumsmelding,215.89268032461231,0,23,0
petroleumsverksemd,215.89268032461231,0,23,0
refusjoner,214.83875622081504,0,24,1
kontinentalsokkel,213.64650884774062,0,35,15
iskantsona,212.6398037848125,0,30,8
felt,208.04499762575463,0,129,316
tilsynet,206.54199944807397,0,37,21
grensa,204.68404927546925,0,39,25
utbytte,204.52439993524337,0,65,87
havet,202.8209013811234,0,193,624
utvalet,200.7845251552193,0,49,47
hausten,199.6816602835455,0,53,57
petroleumstilsynets,196.1992261685836,0,21,0
h<c3><b8>yring,195.71230972740116,0,52,56
leting,195.4113018803088,0,61,80
h<c3><b8>gare,194.92226607700096,0,84,153
n<c3><a6>ringen,193.22583910435924,0,317,1345
forsking,190.69319607033725,0,67,100
h<c3><b8>gt,189.37633510697333,0,53,61
aktiviteten,189.23648397301992,0,117,286
konsesjonsrunde,183.21956735812213,0,71,117
leverand<c3><b8>rindustrien,180.3980277378324,0,79,146
under,179.65239012242534,0,667,3771
sjukefr<c3><a5>v<c3><a6>ret,178.8212368641554,0,24,5
mellombels,178.20425428309096,0,29,12
