term,estimate,std.error,statistic,p.value,conf.low,conf.high,sig,term_clean
(Intercept),0.08946888124186281,0.10385899571901476,-23.24174611040624,1.7240234458439705e-119,0.07264325631395223,0.10918376905633526,***,"Intercept (A, Hovedinnlegg, 2016)"
year_c,0.8858128272133695,0.013480184797960712,-8.994654634106748,2.369760987621048e-19,0.8626253267149451,0.9094449320571178,***,Year (per year increase)
partyFrP,2.1237639198182823,0.14042666483611382,5.363582117539912,8.158753438728261e-8,1.6118899686900239,2.7969868950630383,***,Party: FrP
partyH,1.3437446240985413,0.13348819979455862,2.2133807532778196,0.026871406449411266,1.0346068782516744,1.7470219108010645,*,Party: H
partyKrF,1.251756603524008,0.21050732740993006,1.066698486985822,0.28610801058044677,0.8159810082773199,1.8674574130597599,,Party: KrF
partyMDG,1.1449166742979018,0.18648679092602866,0.7256914023085441,0.4680279736666401,0.7864976974397084,1.6368255311839586,,Party: MDG
partyR,1.3253509702880482,0.22987766348585956,1.2253356995530995,0.22044876290339296,0.8276133649551558,2.0455225463373403,,Party: R
partySV,1.2396632934248235,0.13872648172257135,1.5486574914583564,0.12146407761523235,0.9439003968952754,1.627056306500032,,Party: SV
partySp,0.9432058185555051,0.16309387719522453,-0.358509846179182,0.7199618007438928,0.6815358311307602,1.2932674686059669,,Party: Sp
partyStatsr<c3><a5>d,1.7254029954723304,0.11483272358631394,4.7500453418398925,2.033710440020962e-6,1.381772945171362,2.168251303053178,***,Party: Statsråd
partyV,1.3274263307785539,0.15652973734175427,1.8095090600595625,0.07037195389708428,0.973119223526502,1.799246830469288,.,Party: V
speech_typePresinnlegg,1.140174428553867,1.056796874258927,0.12413100511612714,0.9012115494688402,0.06164118384774638,6.092396786915175,,Speech: Presinnlegg
speech_typeReplikk,0.7333677935573912,0.07341612256099456,-4.223975979331081,2.4002964433866056e-5,0.6343852612209617,0.8460263606994067,***,Speech: Replikk
