topic,topic_label,estimate,std_err,t_stat,p_value,ci_lo,ci_hi,sig
1,T1: Petroleum fiscal regime,0.04116833801119917,0.005759605833452925,7.147770038721289,9.221098612956599e-13,0.02987951057763144,0.052457165444766904,***
2,T2: Welfare / social services,-0.018998449842755148,0.007085902081262923,-2.6811617807974346,0.007344620338796475,-0.03288681792203048,-0.005110081763479818,**
3,T3: Parliamentary procedure,-0.013462576701120275,0.0062257891379818645,-2.1623887996766094,0.03060376286481001,-0.02566512341156473,-0.0012600299906758202,*
4,T4: Energy transition & industry,0.03253168770945948,0.006331077602051952,5.138412408484095,2.804993797386294e-7,0.020122775609437656,0.044940599809481306,***
5,T5: Adversarial floor debate,0.09272469648705527,0.007108013121303217,13.045093601354337,1.0932759891430408e-38,0.07879299076930096,0.10665640220480957,***
6,T6: Nynorsk register,-0.047366553004922415,0.009190398427691341,-5.153917251531069,2.5829584595909355e-7,-0.06537973392319744,-0.029353372086647386,***
7,T7: Climate policy & emissions,-0.017984813834704627,0.006407710212477223,-2.8067458168885717,0.005010837648448548,-0.030543925851159982,-0.00542570181824927,**
8,T8: Transport & infrastructure,-0.012815171745051696,0.005828129347688031,-2.198848203349393,0.027903723585318865,-0.024238305266520238,-0.0013920382235831554,*
9,T9: Foreign policy & geopolitics,-0.02176291121888194,0.0065927033476390765,-3.3010602891263856,9.65420179052828e-4,-0.03468460978025453,-0.00884121265750935,***
10,T10: Nature & biodiversity,-0.03412957203898627,0.0053722928574944364,-6.35288748106406,2.1732060809387662e-10,-0.04465926603967536,-0.023599878038297176,***
