topic,proportion,frex_top3
Topic 5,0.2354424582283888,egentlig / synes / r<c3><b8>dt
Topic 4,0.1195159496231908,havvind / vannkraft / gassn<c3><a6>ringen
Topic 3,0.10976691292955067,departementet / bortreist / loven
Topic 7,0.10388902189159867,utslippene / utslipp / biodrivstoff
Topic 6,0.09731150950201274,fr<c3><a5> / noreg / meir
Topic 2,0.08272463843000159,elever / elevene / videreg<c3><a5>ende
Topic 1,0.06527937224198604,driftsutgifter / skatter / <c3><b8>kes
Topic 9,0.06524805477169524,sikkerhetsr<c3><a5>det / utenrikspolitikk / nordiske
Topic 8,0.06067258276574116,byene / fylkeskommunene / motorveier
Topic 10,0.060149499615831464,skogen / ulv / jordbruksoppgj<c3><b8>ret
